"","HarvestDate","Plot","Block","Nitrogen","Irrigation","LAI","Crop","WaterTreat","NitroTreat"
"1",2012-12-17,"1","1",75,"Irrigated",0.78,"Maize","Irrigated","Median N"
"2",2012-12-17,"2","1",0,"Irrigated",0.63,"Maize","Irrigated","Low N"
"3",2012-12-17,"3","1",250,"Dryland",0.82,"Maize","Dryland","High N"
"4",2012-12-17,"4","1",0,"Dryland",0.75,"Maize","Dryland","Low N"
"5",2012-12-17,"5","1",250,"Irrigated",0.85,"Maize","Irrigated","High N"
"6",2012-12-17,"6","1",75,"Dryland",0.83,"Maize","Dryland","Median N"
"7",2012-12-17,"7","2",0,"Irrigated",0.77,"Maize","Irrigated","Low N"
"8",2012-12-17,"8","2",75,"Dryland",0.8,"Maize","Dryland","Median N"
"9",2012-12-17,"9","2",250,"Dryland",0.91,"Maize","Dryland","High N"
"10",2012-12-17,"10","2",75,"Irrigated",0.85,"Maize","Irrigated","Median N"
"11",2012-12-17,"11","2",0,"Dryland",0.88,"Maize","Dryland","Low N"
"12",2012-12-17,"12","2",250,"Irrigated",0.88,"Maize","Irrigated","High N"
"13",2012-12-17,"13","3",0,"Dryland",0.9,"Maize","Dryland","Low N"
"14",2012-12-17,"14","3",75,"Irrigated",0.86,"Maize","Irrigated","Median N"
"15",2012-12-17,"15","3",250,"Irrigated",1,"Maize","Irrigated","High N"
"16",2012-12-17,"16","3",0,"Irrigated",0.89,"Maize","Irrigated","Low N"
"17",2012-12-17,"17","3",250,"Dryland",0.98,"Maize","Dryland","High N"
"18",2012-12-17,"18","3",75,"Dryland",1.1,"Maize","Dryland","Median N"
"19",2012-12-17,"19","4",250,"Dryland",1.03,"Maize","Dryland","High N"
"20",2012-12-17,"20","4",0,"Irrigated",0.72,"Maize","Irrigated","Low N"
"21",2012-12-17,"21","4",75,"Dryland",1.23,"Maize","Dryland","Median N"
"22",2012-12-17,"22","4",75,"Irrigated",0.82,"Maize","Irrigated","Median N"
"23",2012-12-17,"23","4",0,"Dryland",0.68,"Maize","Dryland","Low N"
"24",2012-12-17,"24","4",250,"Irrigated",1.19,"Maize","Irrigated","High N"
"25",2013-01-28,"1","1",75,"Irrigated",5.21,"Maize","Irrigated","Median N"
"26",2013-01-28,"2","1",0,"Irrigated",4.47,"Maize","Irrigated","Low N"
"27",2013-01-28,"3","1",250,"Dryland",2.79,"Maize","Dryland","High N"
"28",2013-01-28,"4","1",0,"Dryland",2.5,"Maize","Dryland","Low N"
"29",2013-01-28,"5","1",250,"Irrigated",4.01,"Maize","Irrigated","High N"
"30",2013-01-28,"6","1",75,"Dryland",3.17,"Maize","Dryland","Median N"
"31",2013-01-28,"7","2",0,"Irrigated",3.64,"Maize","Irrigated","Low N"
"32",2013-01-28,"8","2",75,"Dryland",2.56,"Maize","Dryland","Median N"
"33",2013-01-28,"9","2",250,"Dryland",2.96,"Maize","Dryland","High N"
"34",2013-01-28,"10","2",75,"Irrigated",4.9,"Maize","Irrigated","Median N"
"35",2013-01-28,"11","2",0,"Dryland",2.36,"Maize","Dryland","Low N"
"36",2013-01-28,"12","2",250,"Irrigated",5.12,"Maize","Irrigated","High N"
"37",2013-01-28,"13","3",0,"Dryland",2.42,"Maize","Dryland","Low N"
"38",2013-01-28,"14","3",75,"Irrigated",4.4,"Maize","Irrigated","Median N"
"39",2013-01-28,"15","3",250,"Irrigated",5.76,"Maize","Irrigated","High N"
"40",2013-01-28,"16","3",0,"Irrigated",4.17,"Maize","Irrigated","Low N"
"41",2013-01-28,"17","3",250,"Dryland",3.58,"Maize","Dryland","High N"
"42",2013-01-28,"18","3",75,"Dryland",3.15,"Maize","Dryland","Median N"
"43",2013-01-28,"19","4",250,"Dryland",3.91,"Maize","Dryland","High N"
"44",2013-01-28,"20","4",0,"Irrigated",4.38,"Maize","Irrigated","Low N"
"45",2013-01-28,"21","4",75,"Dryland",3.32,"Maize","Dryland","Median N"
"46",2013-01-28,"22","4",75,"Irrigated",5.62,"Maize","Irrigated","Median N"
"47",2013-01-28,"23","4",0,"Dryland",2.5,"Maize","Dryland","Low N"
"48",2013-01-28,"24","4",250,"Irrigated",6.35,"Maize","Irrigated","High N"
"49",2013-02-20,"1","1",75,"Irrigated",5.02,"Maize","Irrigated","Median N"
"50",2013-02-20,"2","1",0,"Irrigated",4.12,"Maize","Irrigated","Low N"
"51",2013-02-20,"3","1",250,"Dryland",2.38,"Maize","Dryland","High N"
"52",2013-02-20,"4","1",0,"Dryland",1.74,"Maize","Dryland","Low N"
"53",2013-02-20,"5","1",250,"Irrigated",3.68,"Maize","Irrigated","High N"
"54",2013-02-20,"6","1",75,"Dryland",2.02,"Maize","Dryland","Median N"
"55",2013-02-20,"7","2",0,"Irrigated",3.9,"Maize","Irrigated","Low N"
"56",2013-02-20,"8","2",75,"Dryland",2.28,"Maize","Dryland","Median N"
"57",2013-02-20,"9","2",250,"Dryland",2.3,"Maize","Dryland","High N"
"58",2013-02-20,"10","2",75,"Irrigated",4.45,"Maize","Irrigated","Median N"
"59",2013-02-20,"11","2",0,"Dryland",1.71,"Maize","Dryland","Low N"
"60",2013-02-20,"12","2",250,"Irrigated",5.84,"Maize","Irrigated","High N"
"61",2013-02-20,"13","3",0,"Dryland",1.88,"Maize","Dryland","Low N"
"62",2013-02-20,"14","3",75,"Irrigated",4.36,"Maize","Irrigated","Median N"
"63",2013-02-20,"15","3",250,"Irrigated",5.43,"Maize","Irrigated","High N"
"64",2013-02-20,"16","3",0,"Irrigated",3.72,"Maize","Irrigated","Low N"
"65",2013-02-20,"17","3",250,"Dryland",2.89,"Maize","Dryland","High N"
"66",2013-02-20,"18","3",75,"Dryland",2.62,"Maize","Dryland","Median N"
"67",2013-02-20,"19","4",250,"Dryland",2.95,"Maize","Dryland","High N"
"68",2013-02-20,"20","4",0,"Irrigated",4.02,"Maize","Irrigated","Low N"
"69",2013-02-20,"21","4",75,"Dryland",3.05,"Maize","Dryland","Median N"
"70",2013-02-20,"22","4",75,"Irrigated",4.84,"Maize","Irrigated","Median N"
"71",2013-02-20,"23","4",0,"Dryland",1.98,"Maize","Dryland","Low N"
"72",2013-02-20,"24","4",250,"Irrigated",4.58,"Maize","Irrigated","High N"
"73",2013-03-13,"1","1",75,"Irrigated",4.88,"Maize","Irrigated","Median N"
"74",2013-03-13,"2","1",0,"Irrigated",3.89,"Maize","Irrigated","Low N"
"75",2013-03-13,"3","1",250,"Dryland",1.86,"Maize","Dryland","High N"
"76",2013-03-13,"4","1",0,"Dryland",1.82,"Maize","Dryland","Low N"
"77",2013-03-13,"5","1",250,"Irrigated",4.23,"Maize","Irrigated","High N"
"78",2013-03-13,"6","1",75,"Dryland",0.95,"Maize","Dryland","Median N"
"79",2013-03-13,"7","2",0,"Irrigated",3.82,"Maize","Irrigated","Low N"
"80",2013-03-13,"8","2",75,"Dryland",1.12,"Maize","Dryland","Median N"
"81",2013-03-13,"9","2",250,"Dryland",2.13,"Maize","Dryland","High N"
"82",2013-03-13,"10","2",75,"Irrigated",4.3,"Maize","Irrigated","Median N"
"83",2013-03-13,"11","2",0,"Dryland",1.31,"Maize","Dryland","Low N"
"84",2013-03-13,"12","2",250,"Irrigated",5.13,"Maize","Irrigated","High N"
"85",2013-03-13,"13","3",0,"Dryland",1.45,"Maize","Dryland","Low N"
"86",2013-03-13,"14","3",75,"Irrigated",4.57,"Maize","Irrigated","Median N"
"87",2013-03-13,"15","3",250,"Irrigated",5.24,"Maize","Irrigated","High N"
"88",2013-03-13,"16","3",0,"Irrigated",3.59,"Maize","Irrigated","Low N"
"89",2013-03-13,"17","3",250,"Dryland",2.25,"Maize","Dryland","High N"
"90",2013-03-13,"18","3",75,"Dryland",1.8,"Maize","Dryland","Median N"
"91",2013-03-13,"19","4",250,"Dryland",1.97,"Maize","Dryland","High N"
"92",2013-03-13,"20","4",0,"Irrigated",3.3,"Maize","Irrigated","Low N"
"93",2013-03-13,"21","4",75,"Dryland",2.49,"Maize","Dryland","Median N"
"94",2013-03-13,"22","4",75,"Irrigated",4.58,"Maize","Irrigated","Median N"
"95",2013-03-13,"23","4",0,"Dryland",1.72,"Maize","Dryland","Low N"
"96",2013-03-13,"24","4",250,"Irrigated",5.24,"Maize","Irrigated","High N"
"97",2013-04-10,"1","1",75,"Irrigated",2.15,"Maize","Irrigated","Median N"
"98",2013-04-10,"2","1",0,"Irrigated",2.25,"Maize","Irrigated","Low N"
"99",2013-04-10,"3","1",250,"Dryland",0,"Maize","Dryland","High N"
"100",2013-04-10,"4","1",0,"Dryland",0,"Maize","Dryland","Low N"
"101",2013-04-10,"5","1",250,"Irrigated",3.29,"Maize","Irrigated","High N"
"102",2013-04-10,"6","1",75,"Dryland",0,"Maize","Dryland","Median N"
"103",2013-04-10,"7","2",0,"Irrigated",1.97,"Maize","Irrigated","Low N"
"104",2013-04-10,"8","2",75,"Dryland",0,"Maize","Dryland","Median N"
"105",2013-04-10,"9","2",250,"Dryland",0.17,"Maize","Dryland","High N"
"106",2013-04-10,"10","2",75,"Irrigated",1.87,"Maize","Irrigated","Median N"
"107",2013-04-10,"11","2",0,"Dryland",0.19,"Maize","Dryland","Low N"
"108",2013-04-10,"12","2",250,"Irrigated",2.58,"Maize","Irrigated","High N"
"109",2013-04-10,"13","3",0,"Dryland",0.09,"Maize","Dryland","Low N"
"110",2013-04-10,"14","3",75,"Irrigated",1.75,"Maize","Irrigated","Median N"
"111",2013-04-10,"15","3",250,"Irrigated",2.98,"Maize","Irrigated","High N"
"112",2013-04-10,"16","3",0,"Irrigated",2.27,"Maize","Irrigated","Low N"
"113",2013-04-10,"17","3",250,"Dryland",0.32,"Maize","Dryland","High N"
"114",2013-04-10,"18","3",75,"Dryland",0,"Maize","Dryland","Median N"
"115",2013-04-10,"19","4",250,"Dryland",0.65,"Maize","Dryland","High N"
"116",2013-04-10,"20","4",0,"Irrigated",2.01,"Maize","Irrigated","Low N"
"117",2013-04-10,"21","4",75,"Dryland",0.16,"Maize","Dryland","Median N"
"118",2013-04-10,"22","4",75,"Irrigated",3.19,"Maize","Irrigated","Median N"
"119",2013-04-10,"23","4",0,"Dryland",0.1,"Maize","Dryland","Low N"
"120",2013-04-10,"24","4",250,"Irrigated",2.55,"Maize","Irrigated","High N"
"121",2015-10-29,"1","1",250,"Dryland",0.9,"Wheat","Dryland","High N"
"122",2015-10-29,"2","1",250,"Irrigated",1.07,"Wheat","Irrigated","High N"
"123",2015-10-29,"3","1",0,"Irrigated",1.45,"Wheat","Irrigated","Low N"
"124",2015-10-29,"4","1",50,"Irrigated",0.87,"Wheat","Irrigated","Median N"
"125",2015-10-29,"5","1",0,"Dryland",0.35,"Wheat","Dryland","Low N"
"126",2015-10-29,"6","1",50,"Dryland",0.43,"Wheat","Dryland","Median N"
"127",2015-10-29,"7","2",50,"Irrigated",0.52,"Wheat","Irrigated","Median N"
"128",2015-10-29,"8","2",0,"Dryland",0.41,"Wheat","Dryland","Low N"
"129",2015-10-29,"9","2",250,"Dryland",0.94,"Wheat","Dryland","High N"
"130",2015-10-29,"10","2",250,"Irrigated",1.14,"Wheat","Irrigated","High N"
"131",2015-10-29,"11","2",0,"Irrigated",0.49,"Wheat","Irrigated","Low N"
"132",2015-10-29,"12","2",50,"Dryland",0.58,"Wheat","Dryland","Median N"
"133",2015-10-29,"13","3",250,"Dryland",0.89,"Wheat","Dryland","High N"
"134",2015-10-29,"14","3",50,"Irrigated",0.49,"Wheat","Irrigated","Median N"
"135",2015-10-29,"15","3",0,"Irrigated",1.14,"Wheat","Irrigated","Low N"
"136",2015-10-29,"16","3",0,"Dryland",0.93,"Wheat","Dryland","Low N"
"137",2015-10-29,"17","3",250,"Irrigated",0.61,"Wheat","Irrigated","High N"
"138",2015-10-29,"18","3",50,"Dryland",0.45,"Wheat","Dryland","Median N"
"139",2015-10-29,"19","4",50,"Irrigated",0.45,"Wheat","Irrigated","Median N"
"140",2015-10-29,"20","4",50,"Dryland",0.52,"Wheat","Dryland","Median N"
"141",2015-10-29,"21","4",0,"Dryland",0.96,"Wheat","Dryland","Low N"
"142",2015-10-29,"22","4",0,"Irrigated",0.95,"Wheat","Irrigated","Low N"
"143",2015-10-29,"23","4",250,"Irrigated",0.55,"Wheat","Irrigated","High N"
"144",2015-10-29,"24","4",250,"Dryland",0.5,"Wheat","Dryland","High N"
"145",2015-11-19,"1","1",250,"Dryland",2.11,"Wheat","Dryland","High N"
"146",2015-11-19,"2","1",250,"Irrigated",3.31,"Wheat","Irrigated","High N"
"147",2015-11-19,"3","1",0,"Irrigated",2.88,"Wheat","Irrigated","Low N"
"148",2015-11-19,"4","1",50,"Irrigated",2.41,"Wheat","Irrigated","Median N"
"149",2015-11-19,"5","1",0,"Dryland",0.61,"Wheat","Dryland","Low N"
"150",2015-11-19,"6","1",50,"Dryland",0.9,"Wheat","Dryland","Median N"
"151",2015-11-19,"7","2",50,"Irrigated",1.47,"Wheat","Irrigated","Median N"
"152",2015-11-19,"8","2",0,"Dryland",0.59,"Wheat","Dryland","Low N"
"153",2015-11-19,"9","2",250,"Dryland",2.6,"Wheat","Dryland","High N"
"154",2015-11-19,"10","2",250,"Irrigated",3.8,"Wheat","Irrigated","High N"
"155",2015-11-19,"11","2",0,"Irrigated",0.92,"Wheat","Irrigated","Low N"
"156",2015-11-19,"12","2",50,"Dryland",1.15,"Wheat","Dryland","Median N"
"157",2015-11-19,"13","3",250,"Dryland",2.13,"Wheat","Dryland","High N"
"158",2015-11-19,"14","3",50,"Irrigated",1.24,"Wheat","Irrigated","Median N"
"159",2015-11-19,"15","3",0,"Irrigated",2.09,"Wheat","Irrigated","Low N"
"160",2015-11-19,"16","3",0,"Dryland",1.68,"Wheat","Dryland","Low N"
"161",2015-11-19,"17","3",250,"Irrigated",2.39,"Wheat","Irrigated","High N"
"162",2015-11-19,"18","3",50,"Dryland",0.91,"Wheat","Dryland","Median N"
"163",2015-11-19,"19","4",50,"Irrigated",1.03,"Wheat","Irrigated","Median N"
"164",2015-11-19,"20","4",50,"Dryland",1.11,"Wheat","Dryland","Median N"
"165",2015-11-19,"21","4",0,"Dryland",1.2,"Wheat","Dryland","Low N"
"166",2015-11-19,"22","4",0,"Irrigated",1.53,"Wheat","Irrigated","Low N"
"167",2015-11-19,"23","4",250,"Irrigated",2.12,"Wheat","Irrigated","High N"
"168",2015-11-19,"24","4",250,"Dryland",1.56,"Wheat","Dryland","High N"
"169",2015-12-03,"1","1",250,"Dryland",1.35,"Wheat","Dryland","High N"
"170",2015-12-03,"2","1",250,"Irrigated",2.65,"Wheat","Irrigated","High N"
"171",2015-12-03,"3","1",0,"Irrigated",1.44,"Wheat","Irrigated","Low N"
"172",2015-12-03,"4","1",50,"Irrigated",2.2,"Wheat","Irrigated","Median N"
"173",2015-12-03,"5","1",0,"Dryland",0.43,"Wheat","Dryland","Low N"
"174",2015-12-03,"6","1",50,"Dryland",0.88,"Wheat","Dryland","Median N"
"175",2015-12-03,"7","2",50,"Irrigated",1.74,"Wheat","Irrigated","Median N"
"176",2015-12-03,"8","2",0,"Dryland",0.54,"Wheat","Dryland","Low N"
"177",2015-12-03,"9","2",250,"Dryland",2.55,"Wheat","Dryland","High N"
"178",2015-12-03,"10","2",250,"Irrigated",5.03,"Wheat","Irrigated","High N"
"179",2015-12-03,"11","2",0,"Irrigated",0.67,"Wheat","Irrigated","Low N"
"180",2015-12-03,"12","2",50,"Dryland",1.11,"Wheat","Dryland","Median N"
"181",2015-12-03,"13","3",250,"Dryland",1.77,"Wheat","Dryland","High N"
"182",2015-12-03,"14","3",50,"Irrigated",1.2,"Wheat","Irrigated","Median N"
"183",2015-12-03,"15","3",0,"Irrigated",1.31,"Wheat","Irrigated","Low N"
"184",2015-12-03,"16","3",0,"Dryland",1.22,"Wheat","Dryland","Low N"
"185",2015-12-03,"17","3",250,"Irrigated",2.59,"Wheat","Irrigated","High N"
"186",2015-12-03,"18","3",50,"Dryland",0.88,"Wheat","Dryland","Median N"
"187",2015-12-03,"19","4",50,"Irrigated",1.62,"Wheat","Irrigated","Median N"
"188",2015-12-03,"20","4",50,"Dryland",0.69,"Wheat","Dryland","Median N"
"189",2015-12-03,"21","4",0,"Dryland",0.86,"Wheat","Dryland","Low N"
"190",2015-12-03,"22","4",0,"Irrigated",1.38,"Wheat","Irrigated","Low N"
"191",2015-12-03,"23","4",250,"Irrigated",2.82,"Wheat","Irrigated","High N"
"192",2015-12-03,"24","4",250,"Dryland",1.45,"Wheat","Dryland","High N"
"193",2015-12-15,"1","1",250,"Dryland",0.88,"Wheat","Dryland","High N"
"194",2015-12-15,"2","1",250,"Irrigated",2.6,"Wheat","Irrigated","High N"
"195",2015-12-15,"3","1",0,"Irrigated",1.13,"Wheat","Irrigated","Low N"
"196",2015-12-15,"4","1",50,"Irrigated",2.7,"Wheat","Irrigated","Median N"
"197",2015-12-15,"5","1",0,"Dryland",0.27,"Wheat","Dryland","Low N"
"198",2015-12-15,"6","1",50,"Dryland",0.74,"Wheat","Dryland","Median N"
"199",2015-12-15,"7","2",50,"Irrigated",1.34,"Wheat","Irrigated","Median N"
"200",2015-12-15,"8","2",0,"Dryland",0.27,"Wheat","Dryland","Low N"
"201",2015-12-15,"9","2",250,"Dryland",1.81,"Wheat","Dryland","High N"
"202",2015-12-15,"10","2",250,"Irrigated",4.57,"Wheat","Irrigated","High N"
"203",2015-12-15,"11","2",0,"Irrigated",0.6,"Wheat","Irrigated","Low N"
"204",2015-12-15,"12","2",50,"Dryland",0.72,"Wheat","Dryland","Median N"
"205",2015-12-15,"13","3",250,"Dryland",1.14,"Wheat","Dryland","High N"
"206",2015-12-15,"14","3",50,"Irrigated",1.14,"Wheat","Irrigated","Median N"
"207",2015-12-15,"15","3",0,"Irrigated",1.39,"Wheat","Irrigated","Low N"
"208",2015-12-15,"16","3",0,"Dryland",0.89,"Wheat","Dryland","Low N"
"209",2015-12-15,"17","3",250,"Irrigated",3.08,"Wheat","Irrigated","High N"
"210",2015-12-15,"18","3",50,"Dryland",0.66,"Wheat","Dryland","Median N"
"211",2015-12-15,"19","4",50,"Irrigated",1.28,"Wheat","Irrigated","Median N"
"212",2015-12-15,"20","4",50,"Dryland",0.57,"Wheat","Dryland","Median N"
"213",2015-12-15,"21","4",0,"Dryland",0.62,"Wheat","Dryland","Low N"
"214",2015-12-15,"22","4",0,"Irrigated",1.49,"Wheat","Irrigated","Low N"
"215",2015-12-15,"23","4",250,"Irrigated",2.8,"Wheat","Irrigated","High N"
"216",2015-12-15,"24","4",250,"Dryland",1.33,"Wheat","Dryland","High N"
"217",2016-01-06,"1","1",250,"Dryland",0.17,"Wheat","Dryland","High N"
"218",2016-01-06,"2","1",250,"Irrigated",2.6,"Wheat","Irrigated","High N"
"219",2016-01-06,"3","1",0,"Irrigated",0.61,"Wheat","Irrigated","Low N"
"220",2016-01-06,"4","1",50,"Irrigated",0.85,"Wheat","Irrigated","Median N"
"221",2016-01-06,"5","1",0,"Dryland",0.11,"Wheat","Dryland","Low N"
"222",2016-01-06,"6","1",50,"Dryland",0.25,"Wheat","Dryland","Median N"
"223",2016-01-06,"7","2",50,"Irrigated",1.15,"Wheat","Irrigated","Median N"
"224",2016-01-06,"8","2",0,"Dryland",0.1,"Wheat","Dryland","Low N"
"225",2016-01-06,"9","2",250,"Dryland",0.1,"Wheat","Dryland","High N"
"226",2016-01-06,"10","2",250,"Irrigated",2.75,"Wheat","Irrigated","High N"
"227",2016-01-06,"11","2",0,"Irrigated",0.34,"Wheat","Irrigated","Low N"
"228",2016-01-06,"12","2",50,"Dryland",0.21,"Wheat","Dryland","Median N"
"229",2016-01-06,"13","3",250,"Dryland",0.44,"Wheat","Dryland","High N"
"230",2016-01-06,"14","3",50,"Irrigated",0.63,"Wheat","Irrigated","Median N"
"231",2016-01-06,"15","3",0,"Irrigated",0.81,"Wheat","Irrigated","Low N"
"232",2016-01-06,"16","3",0,"Dryland",0.14,"Wheat","Dryland","Low N"
"233",2016-01-06,"17","3",250,"Irrigated",3.83,"Wheat","Irrigated","High N"
"234",2016-01-06,"18","3",50,"Dryland",0.23,"Wheat","Dryland","Median N"
"235",2016-01-06,"19","4",50,"Irrigated",1.15,"Wheat","Irrigated","Median N"
"236",2016-01-06,"20","4",50,"Dryland",0.11,"Wheat","Dryland","Median N"
"237",2016-01-06,"21","4",0,"Dryland",0.16,"Wheat","Dryland","Low N"
"238",2016-01-06,"22","4",0,"Irrigated",0.7,"Wheat","Irrigated","Low N"
"239",2016-01-06,"23","4",250,"Irrigated",2.45,"Wheat","Irrigated","High N"
"240",2016-01-06,"24","4",250,"Dryland",0.52,"Wheat","Dryland","High N"
"241",2016-02-01,"1","1",250,"Dryland",NA,"Wheat","Dryland","High N"
"242",2016-02-13,"2","1",250,"Irrigated",NA,"Wheat","Irrigated","High N"
"243",2016-02-13,"3","1",0,"Irrigated",NA,"Wheat","Irrigated","Low N"
"244",2016-02-13,"4","1",50,"Irrigated",NA,"Wheat","Irrigated","Median N"
"245",2016-01-25,"5","1",0,"Dryland",NA,"Wheat","Dryland","Low N"
"246",2016-02-01,"6","1",50,"Dryland",NA,"Wheat","Dryland","Median N"
"247",2016-02-13,"7","2",50,"Irrigated",NA,"Wheat","Irrigated","Median N"
"248",2016-01-25,"8","2",0,"Dryland",NA,"Wheat","Dryland","Low N"
"249",2016-02-01,"9","2",250,"Dryland",NA,"Wheat","Dryland","High N"
"250",2016-02-13,"10","2",250,"Irrigated",NA,"Wheat","Irrigated","High N"
"251",2016-02-13,"11","2",0,"Irrigated",NA,"Wheat","Irrigated","Low N"
"252",2016-02-01,"12","2",50,"Dryland",NA,"Wheat","Dryland","Median N"
"253",2016-02-01,"13","3",250,"Dryland",NA,"Wheat","Dryland","High N"
"254",2016-02-13,"14","3",50,"Irrigated",NA,"Wheat","Irrigated","Median N"
"255",2016-02-13,"15","3",0,"Irrigated",NA,"Wheat","Irrigated","Low N"
"256",2016-01-25,"16","3",0,"Dryland",NA,"Wheat","Dryland","Low N"
"257",2016-02-13,"17","3",250,"Irrigated",NA,"Wheat","Irrigated","High N"
"258",2016-02-01,"18","3",50,"Dryland",NA,"Wheat","Dryland","Median N"
"259",2016-02-13,"19","4",50,"Irrigated",NA,"Wheat","Irrigated","Median N"
"260",2016-02-01,"20","4",50,"Dryland",NA,"Wheat","Dryland","Median N"
"261",2016-01-25,"21","4",0,"Dryland",NA,"Wheat","Dryland","Low N"
"262",2016-02-13,"22","4",0,"Irrigated",NA,"Wheat","Irrigated","Low N"
"263",2016-02-13,"23","4",250,"Irrigated",NA,"Wheat","Irrigated","High N"
"264",2016-02-01,"24","4",250,"Dryland",NA,"Wheat","Dryland","High N"
